RUN	SampleAPIGatling	sampleapigatling	1575982986204	 	3.3.1
REQUEST	162		get all users	1575983017053	1575983018665	OK	 
USER	Get All users	162	END	1575983017053	1575983018666
REQUEST	164		get all users	1575983017254	1575983018731	OK	 
USER	Get All users	164	END	1575983017253	1575983018731
REQUEST	163		get all users	1575983017152	1575983018765	OK	 
USER	Get All users	163	END	1575983017152	1575983018765
REQUEST	165		get all users	1575983017353	1575983019055	OK	 
USER	Get All users	165	END	1575983017353	1575983019056
REQUEST	166		get all users	1575983017454	1575983019074	OK	 
USER	Get All users	166	END	1575983017453	1575983019075
